continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Latin America and Caribbean,2020-01-01,659285500,-1.6364698706269116,12.738944277045,10.16029377037401,2.7571645117242625,-1.8442054497327187,-7.300517754522763,-10.493444821053833,0,0,0
Asia,2020-01-01,4695793204,-801.3622901440943,139.45287852288405,-211.2579309502556,-735.6410505324384,-1055.025234605684,-1229.5757477480304,-1336.47514053679,-50446.94988038545,-1008.938997607709,0
Africa,2020-01-01,1425436439,253.5956213613009,1155.8712850125187,778.6643590147957,323.82868465672345,46.391124778835575,-90.76721754926554,-217.81626372616685,0,0,0
"Europe, United States, Canada, and Oceania",2020-01-01,1168254059,-3.427666942784318,18.711574410943697,12.810402103747432,4.985283335237527,-3.427666942784318,-7.908010411811099,-11.34708347387328,0,0,0
Latin America and Caribbean,2020-01-06,659285500,-5.504015235275269,22.12143363690869,16.321290383939992,5.501834546902639,-5.504015235275269,-8.804045327127103,-13.839857913376381,0,0,0
Asia,2020-01-06,4695793204,-802.3168676429259,141.11627261790957,-213.94003784633267,-743.1852953137641,-1055.9728830086642,-1244.9523660111413,-1361.2710106851966,-50446.94988038545,-1008.938997607709,0
Africa,2020-01-06,1425436439,260.20572573042995,1157.703538244376,775.8451463641748,324.1953469301369,43.484584504069005,-111.38948748184684,-260.7988564769558,0,0,0
"Europe, United States, Canada, and Oceania",2020-01-06,1168254059,-3.4263100879236066,18.718442714057897,15.39799216163939,4.56774233905122,-3.4263100879236066,-7.728126147612392,-10.026038510643948,0,0,0
Latin America and Caribbean,2020-01-13,659285500,-1.7308229433604159,15.981615853727877,12.04308994755309,4.806515572197206,-1.7308229433604159,-6.934623613936618,-8.837461382485667,0,0,0
Asia,2020-01-13,4695793204,-1052.1318298016813,-104.26042153258504,-494.2685583040525,-991.8822546462827,-1280.6065486469909,-1505.1921082703645,-1597.5120826508198,-62844.70516910852,-1256.8941033821704,0
Africa,2020-01-13,1425436439,259.4229037826963,1195.6882968133382,808.4349846504408,340.6356063312078,45.99921170446547,-106.12896716812061,-223.27030219622756,0,0,0
"Europe, United States, Canada, and Oceania",2020-01-13,1168254059,-3.2385499778328635,18.507649187572053,15.410520552520254,4.8495572207850355,-3.2385499778328635,-7.356454682134031,-9.89355253932236,0,0,0
Latin America and Caribbean,2020-01-20,659285500,-6.2257390966688755,31.07720274401082,18.94917886894835,9.036015381239203,-6.2257390966688755,-12.878748439900255,-16.921449123792065,0,0,0
Asia,2020-01-20,4695793204,-981.199476212301,-82.30820328503404,-216.4630063738379,-809.3818438078713,-1610.0479637681444,-2153.4344239758534,-2244.0383906895077,-77640.50585058807,-1552.8101170117616,0
Africa,2020-01-20,1425436439,256.59939108241815,1301.3662292380536,950.9089348975334,420.0094002461966,33.29881236763055,-222.2682749838579,-302.6173987936721,0,0,0
"Europe, United States, Canada, and Oceania",2020-01-20,1168254059,-3.8096800980131587,16.16194518389552,14.117603253559224,4.776546626315484,-3.9495544295318576,-9.666462355792914,-11.403777076021719,0,0,0
Latin America and Caribbean,2020-01-27,659285500,-168.6338593801537,-133.18519130380201,-137.0876948399739,-150.97392146975747,-168.6338593801537,-170.1864188067318,-175.48472474546836,-7841.012804984063,-163.35443343716798,0
Asia,2020-01-27,4695793204,-282.08731939297104,864.7986590846753,769.0441563154855,47.453110057526246,-766.0896272337852,-1453.0778416509545,-1628.9508851473524,-43389.86332649654,-867.7972665299308,13
Africa,2020-01-27,1425436439,249.7646105437537,1316.2811191528301,924.9812404466319,372.95012327452906,12.39400984053077,-164.34802348273573,-364.984155855902,-1567.4267756167535,-27.98976385029917,0
"Europe, United States, Canada, and Oceania",2020-01-27,1168254059,-1091.2301612919682,-1070.4693090576561,-1071.8360973699478,-1081.489247476068,-1091.2301612919682,-1096.9201178037224,-1098.465727721443,-81548.69602632783,-1087.3159470177045,0
Latin America and Caribbean,2020-02-03,659285500,-30.414799271571127,11.265344974806391,6.674311144596192,-9.59891892428523,-30.414799271571127,-30.414799271571127,-31.544393792816276,-630.6055588383138,-13.137615809131535,0
Asia,2020-02-03,4695793204,958.2594581987548,2192.8204044202607,2048.7915183583245,1269.3354541218239,560.2315163931054,-39.27503881359622,-481.0729260041937,33319.69302141242,666.3938604282484,49.5
Africa,2020-02-03,1425436439,363.0062650022589,1469.5812864516265,1165.4242851303156,519.1265356318362,121.82351570662779,-70.20493220322484,-256.80108426165714,4801.488092756441,85.74085879922217,0
"Europe, United States, Canada, and Oceania",2020-02-03,1168254059,-1151.528036074451,-1129.3255514038592,-1131.1050503825172,-1141.2993465833376,-1151.528036074451,-1156.6229175721226,-1158.5497819772638,-86071.2019356691,-1147.6160258089214,0.4
Latin America and Caribbean,2020-02-10,659285500,-84.82698231131029,-41.40861553028017,-49.033646611550274,-74.07765578589313,-90.35739136809104,-102.61468168791968,-107.00529850420264,-3839.46270169551,-79.98880628532312,0
Asia,2020-02-10,4695793204,-638.4877537872867,675.0523811542444,477.53447540509666,-361.5116863102433,-1221.9425306135338,-1987.8111883634724,-2324.2302104585297,-44871.21073054395,-897.424214610879,83.857
Africa,2020-02-10,1425436439,322.3665141163891,1614.6282016826124,1117.5361868354225,543.2484585409067,77.35247242201943,-232.8506450028,-468.39207507016596,1409.4880927564477,25.169430227793708,0
"Europe, United States, Canada, and Oceania",2020-02-10,1168254059,-1070.651248521936,-1046.2894344257934,-1049.2795426483287,-1059.663516508287,-1070.651248521936,-1074.84743070247,-1077.8158062600487,-80024.77336424077,-1066.996978189877,0
Latin America and Caribbean,2020-02-17,659285500,-122.13173520346965,-86.52148439611408,-92.91354434833339,-117.78588947062251,-135.17699479232223,-149.3759617463497,-151.75915775148624,-5851.576987409806,-121.90785390437097,0
Asia,2020-02-17,4695793204,-1468.3379281626203,0.243671532442746,-284.03306091015725,-1150.7243968691587,-2049.040049523992,-3037.579350437897,-3230.2880109941134,-83138.17802527324,-1662.7635605054647,122.414
Africa,2020-02-17,1425436439,320.40793271803614,1706.5956538009427,1126.6802605517723,549.1268139335659,-50.16051083145835,-477.5861886411418,-663.6047432834232,1456.154759423161,26.00276356112788,0
"Europe, United States, Canada, and Oceania",2020-02-17,1168254059,-1370.6555413596957,-1346.9656763565256,-1349.583129857976,-1360.1763202085058,-1370.6555413596957,-1375.6575396417513,-1378.0517063390644,-102524.773364241,-1366.99697818988,0.3333333333333333
Latin America and Caribbean,2020-02-24,659285500,-222.0986832199723,-181.42782575564556,-186.42094360674832,-199.83984259222004,-222.0986832199723,-237.4470278216425,-245.95301183855636,-9657.265094543302,-201.19302280298547,0
